state_name,avg_mean,avg_median
"District of Columbia",90668.4,93759.6
Connecticut,89732.8,121240.4
"New Jersey",89565.4,126972.7
Maryland,88444.2,114969.2
Massachusetts,85645.7,119074.4
Hawaii,82992.1,102101.8
Alaska,81311.8,122295.7
Virginia,80426.3,105313.4
California,78742.0,101359.0
"New York",77859.3,102731.8
"New Hampshire",76699.0,101924.1
Washington,75285.8,101869.5
Colorado,74233.7,101511.2
Utah,73483.5,113210.1
"Rhode Island",72971.2,105752.0
Minnesota,71665.6,88816.8
Delaware,70948.6,88087.0
Wyoming,69676.5,126316.7
Illinois,69358.2,87136.5
Nevada,66657.7,92665.0
Texas,66446.7,87472.4
Pennsylvania,65277.0,83725.6
"North Dakota",64748.7,83219.0
Wisconsin,64526.2,79861.0
Oregon,64023.1,86904.4
Vermont,63966.2,82101.9
Arizona,63603.7,80774.9
Iowa,62707.3,80718.2
Nebraska,61953.2,91474.5
Kansas,61821.1,82639.8
Florida,61482.4,75993.7
Maine,60843.9,64722.6
Georgia,60576.6,71933.0
Michigan,60180.1,71439.6
"South Dakota",60007.0,85264.0
Ohio,59942.5,75219.9
Indiana,59238.0,83392.1
"North Carolina",58582.4,71711.4
Montana,57854.1,73198.8
"New Mexico",57791.5,84249.3
Missouri,57164.9,71547.4
Tennessee,56925.2,65809.9
Idaho,56466.0,80698.3
Louisiana,56202.2,60662.2
"South Carolina",56081.8,68655.8
Kentucky,55473.4,64634.4
Oklahoma,55339.7,62266.9
Alabama,54023.8,63252.2
"West Virginia",52292.0,63566.3
Arkansas,52213.9,52536.1
Mississippi,49385.6,57964.7
"Puerto Rico",27841.7,22522.4
