state_name,sum_water
Michigan,13544227864
Texas,7984639571
Florida,7184634980
Minnesota,4311138060
Louisiana,4011517821
California,3865613533
Alaska,3630139204
"North Carolina",3584120388
Washington,3288150796
Wisconsin,3063161381
Hawaii,3011921795
Ohio,2873730713
"New York",2826278615
Maryland,2787515147
Alabama,2417604645
Virginia,2417501869
"South Carolina",2025887623
Maine,2008544091
Georgia,1711910911
Massachusetts,1587126643
Oklahoma,1365689041
Arkansas,1189208863
Tennessee,1167571108
Mississippi,1118504267
Missouri,1035967969
Kentucky,1014089691
"New Jersey",1012321482
Illinois,993465367
Utah,953841817
Oregon,713215517
Pennsylvania,686959896
"North Dakota",680843091
Delaware,673286462
Kansas,634014733
"South Dakota",545542366
Iowa,511503053
"New Hampshire",508147463
"Puerto Rico",486503323
Montana,459784629
Connecticut,443827501
Vermont,440550832
Indiana,432440636
Nebraska,420691912
Nevada,419421726
Colorado,379095946
Idaho,323487864
"West Virginia",215788820
Arizona,169383885
"Rhode Island",166540732
"New Mexico",46766076
Wyoming,31746742
"District of Columbia",24271444
